"Symbol";"Date";"Open";"High";"Low";"Close"
GC3-067;07.05.2010;1454,5;1461,0;1439,1;1454,4
GC3-067;10.05.2010;1453,1;1453,1;1430,5;1448,9
GC3-067;11.05.2010;1447,9;1481,3;1447,6;1477,2
GC3-067;12.05.2010;1478,1;1495,3;1473,3;1483,7
GC3-067;13.05.2010;1484,4;1489,8;1473,6;1478,6
GC3-067;14.05.2010;1479,4;1495,8;1463,7;1478,9
GC3-067;17.05.2010;1478,1;1488,9;1465,2;1470,3
GC3-067;18.05.2010;1470,0;1475,7;1452,7;1468,0
GC3-067;19.05.2010;1469,9;1474,3;1432,7;1437,5
GC3-067;20.05.2010;1437,1;1444,3;1421,1;1429,1
GC3-067;21.05.2010;1429,1;1434,1;1412,1;1423,2
GC3-067;24.05.2010;1424,2;1443,4;1422,9;1438,5
GC3-067;25.05.2010;1438,5;1450,6;1431,3;1447,4
GC3-067;26.05.2010;1449,9;1463,0;1447,1;1457,2
GC3-067;27.05.2010;1457,8;1464,6;1451,5;1457,0
GC3-067;28.05.2010;1456,5;1460,9;1447,2;1459,8
GC3-067;31.05.2010;1460,5;1463,6;1455,4;1461,7
GC3-067;01.06.2010;1461,2;1474,4;1459,8;1470,6
GC3-067;02.06.2010;1471,5;1472,7;1458,8;1469,4
GC3-067;03.06.2010;1469,0;1470,3;1446,2;1453,4
GC3-067;04.06.2010;1452,3;1465,8;1441,9;1465,7
GC3-067;07.06.2010;1464,9;1490,5;1455,9;1485,6
GC3-067;08.06.2010;1486,4;1498,3;1478,8;1480,2
GC3-067;09.06.2010;1480,9;1486,4;1466,9;1477,7
GC3-067;10.06.2010;1478,2;1479,8;1460,0;1462,9
GC3-067;11.06.2010;1462,6;1476,2;1461,9;1473,2
GC3-067;14.06.2010;1473,1;1479,7;1461,3;1467,2
GC3-067;15.06.2010;1466,8;1482,3;1464,9;1480,0
GC3-067;16.06.2010;1479,9;1483,3;1472,1;1476,7
GC3-067;17.06.2010;1475,4;1496,6;1474,8;1490,2
